fromferc,toferc,value
CAISO,CAISO,3680
CAISO,Mexico,572
CAISO,NorthernGrid,8146
CAISO,WestConnect,6918
ERCOT,Mexico,383
ERCOT,SPP,831
FRCC,FRCC,65424
FRCC,SERC,2803
ISONE,NYISO,1833
ISONE,New Brunswick,10270
ISONE,Quebec,2174
MISO,MISO,134
MISO,Manitoba,2138
MISO,Ontario,1648
MISO,PJM,8864
MISO,SERC,3693
MISO,SPP,4898
NYISO,ISONE,1819
NYISO,Ontario,1871
NYISO,PJM,3669
NYISO,Quebec,1781
NorthernGrid,Alberta,306
NorthernGrid,British Colombia,2311
NorthernGrid,CAISO,8145
NorthernGrid,NorthernGrid,5698
NorthernGrid,WestConnect,2148
PJM,MISO,21968
PJM,NYISO,4487
PJM,SERC,8888
SCRTP,SCRTP,962
SCRTP,SERC,1896
SERC,FRCC,2822
SERC,MISO,32864
SERC,PJM,6749
SERC,SCRTP,1896
SERC,SERC,659
SERC,SPP,1434
SPP,ERCOT,836
SPP,MISO,4888
SPP,SERC,1467
SPP,SPP,558
SPP,Saskatchewan,392
SPP,WestConnect,979
WestConnect,CAISO,6919
WestConnect,NorthernGrid,2160
WestConnect,SPP,979
WestConnect,WestConnect,1834
